# 这是本地源列表，一行一个源，格式为：频道名称,接口地址
# 支持设置白名单：接口后添加$!
# The local source list, one line per source, format: channel name, interface address
# Support setting whitelist: add $! after the interface
🌊港澳,#genre#


📺VPN直播频道,#genre#





🌊🇭🇰港澳台(主线),#genre#
软件作者,http://iptv.4666888.xyz/iptv2A.php?id=27
资源宝藏库,http://iptv.4666888.xyz/iptv2A.php?id=28
制作维护,https://cdn6.163189.xyz/163189/fhhk
捐赠5元获取频道密码,http://r.jdshipin.com/CkuBd
捐赠10元可获取4K高清影视软件2个,http://r.jdshipin.com/CkuBd
捐赠10元可获取最新电视家,https://cdn6.163189.xyz/163189/yzwx
捐赠30元可获取,https://cdn.163189.xyz/163189/hoy78
最新港澳台直播,https://cdn6.163189.xyz/163189/hoy
U盘版港澳台软件65元,https://cdn2.163189.xyz/163189/hoyjj
包稳定流畅长期能用,https://cdn6.163189.xyz/163189/wxxw
含10个电视应用,https://cdn6.163189.xyz/163189/fct
需要加微信号,https://cdn6.163189.xyz/163189/hlfct
zybzk2698,https://cdn6.163189.xyz/163189/mzt
捐赠后加微领取,https://cdn6.163189.xyz/163189/asam
感谢支持！,https://cdn6.163189.xyz/163189/fct4k
凤凰资讯,http://r.jdshipin.com/0Rp07
凤凰香港,http://r.jdshipin.com/yDoTN
翡翠台,http://r.jdshipin.com/62WM7
翡翠台,http://r.jdshipin.com/qrfbg
无线新闻,http://r.jdshipin.com/CkuBd
凤凰中文,https://cdn6.101.qzz.io/163189/fhzw
凤凰香港,https://cdn6.101.qzz.io/163189/fhhk
明珠台,http://r.jdshipin.com/ZQ4kN
鳳凰中文,http://iptv.4666888.xyz/iptv2A.php?id=27
廣東珠江,http://iptv.4666888.xyz/iptv2A.php?id=19
青海衛視,http://iptv.4666888.xyz/iptv2A.php?id=17
TVB黃金華劇,http://iptv.4666888.xyz/iptv2A.php?id=34
TVB翡翠(馬來),http://iptv.4666888.xyz/iptv2A.php?id=28
TVB明珠,http://iptv.4666888.xyz/iptv2A.php?id=29
TVBJ1,http://iptv.4666888.xyz/iptv2A.php?id=26
TVB1,http://iptv.4666888.xyz/iptv2A.php?id=25
千禧經典,http://iptv.4666888.xyz/iptv2A.php?id=22
HOY77,http://iptv.4666888.xyz/iptv2A.php?id=35
TVB-獎門人,http://iptv.4666888.xyz/iptv2A.php?id=31
TVB-金曲,http://iptv.4666888.xyz/iptv2A.php?id=57
TVB娛樂新聞,http://iptv.4666888.xyz/iptv2A.php?id=36
MYTV黃金翡翠,http://iptv.4666888.xyz/iptv2A.php?id=32
TVB翡翠劇集,http://iptv.4666888.xyz/iptv2A.php?id=33
澳視澳門,http://iptv.4666888.xyz/iptv2A.php?id=41
中國電影,http://iptv.4666888.xyz/iptv2A.php?id=61
東森電影,http://iptv.4666888.xyz/iptv2A.php?id=48
FGM_gold电影,http://iptv.4666888.xyz/iptv2A.php?id=54
風雲恐怖電影,http://iptv.4666888.xyz/iptv2A.php?id=59
ROCK_Action,http://iptv.4666888.xyz/iptv2A.php?id=50
梦工场动漫,http://iptv.4666888.xyz/iptv2A.php?id=40
Duck TV兒童卡通,http://iptv.4666888.xyz/iptv2A.php?id=39
