# 这是本地源列表，一行一个源，格式为：频道名称,接口地址
# 支持设置白名单：接口后添加$!
# The local source list, one line per source, format: channel name, interface address
# Support setting whitelist: add $! after the interface
🌊港澳,#genre#


📺VPN直播频道,#genre#





☘️VPN日本Tokyo,#genre#













☘️测试,#genre#
未分类,#genre#
AMC電影台,http://61.221.215.25:8800/hls/43/index.m3u8
ANTV,http://antvlive.ab5c6921.cdnviet.com/antv/playlist.m3u8
Discovery探索頻道,http://61.221.215.25:8800/hls/1/index.m3u8
Discovery探索亞洲,http://61.221.215.25:8800/hls/50/index.m3u8
GOODTV道在人間HD,https://dqhxk7sbp7xog.cloudfront.net/osmflivech2.m3u8
GOODTV復興禱告,https://dqhxk7sbp7xog.cloudfront.net/osmflivech38.m3u8
GOODTV好消息HD,https://dqhxk7sbp7xog.cloudfront.net/osmflivech1.m3u8
GOODTV好消息卡通,https://dqhxk7sbp7xog.cloudfront.net/osmflivech45.m3u8
GTV八大第1台HD,http://61.221.215.25:8800/hls/55/index.m3u8
GTV八大戲劇HD,http://61.221.215.25:8800/hls/39/index.m3u8
GTV八大綜合台HD,http://61.221.215.25:8800/hls/56/index.m3u8
HISTORY頻道,http://37.27.111.214:8080/live/27/hls.m3u8
KBS 1TV,http://mytv.dothome.co.kr/ch/public/1.php
KBS 2TV,http://mytv.dothome.co.kr/ch/public/3.php
KBS Drama,http://mytv.dothome.co.kr/ch/catv/2.php
KBS Joy,http://mytv.dothome.co.kr/ch/catv/3.php
KBS Life,http://mytv.dothome.co.kr/ch/catv/5.php
KBS World,http://mytv.dothome.co.kr/ch/catv/7.php
MBC Chuncheon,https://stream.chmbc.co.kr/TV/myStream/playlist.m3u8
MBC Chungbuk,http://211.33.246.4:32954/cj_live/myStream.sdp/playlist.m3u8
MBC Daegu,https://5ee1ec6f32118.streamlock.net/live/livetv/playlist.m3u8
MBC Daejeon,https://ns1.tjmbc.co.kr/live/myStream.sdp/playlist.m3u8
MBC Mokpo,http://vod.mpmbc.co.kr:1935/live/encoder-tv/playlist.m3u8
MBC Yeosu,https://5c3639aa99149.streamlock.net/live_TV/tv/playlist.m3u8
myTV SUPER 18台,http://bxtv.3a.ink/api.php?id=18
NHK WORLD,http://61.221.215.25:8800/hls/51/index.m3u8
NOW新闻,http://bxtv.3a.ink/api.php?id=now
PopC,http://bxtv.3a.ink/api.php?id=popc
SBS CJB,http://1.222.207.80:1935/live/cjbtv/playlist.m3u8
SBS JTV,http://61.85.197.53:1935/jtv_live/myStream/playlist.m3u8
SET三立戲劇,http://61.221.215.25:8800/hls/41/index.m3u8
TVB Plus,http://bxtv.3a.ink/api.php?id=tvbp
TVBS新闻台,http://61.221.215.25:8800/hls/9/index.m3u8
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8
VIUTV,http://bxtv.3a.ink/api.php?id=viutv
澳门莲花,http://cdn6.163189.xyz/163189/amlh
澳门莲花,http://live-hls.macaulotustv.com/lotustv/macaulotustv.m3u8
八大综合,https://epg.pw/stream/adb797f4658363759c5a408dfec1e091e7cfe712fe04afaa3b8d7670efef57e1.m3u8
