# 这是本地源列表，一行一个源，格式为：频道名称,接口地址
# 支持设置白名单：接口后添加$!
# The local source list, one line per source, format: channel name, interface address
# Support setting whitelist: add $! after the interface
🌊港澳,#genre#


📺VPN直播频道,#genre#





☘️VPN日本Tokyo,#genre#











☘️测试,#genre#

☘️XXX | VIP 18+,#genre#
XXX: BOGCOCK ADULT,http://vipdurwendur.top:8080/VIP015051755173248550/f05226677ca3/132387
XXX: BLACK ADULT,http://vipdurwendur.top:8080/VIP015051755173248550/f05226677ca3/132388
XXX: BLOW ADULT,http://vipdurwendur.top:8080/VIP015051755173248550/f05226677ca3/132389
XXX: CARTOON ADULT,http://vipdurwendur.top:8080/VIP015051755173248550/f05226677ca3/132390
XXX: CREAMPIE ADULT,http://vipdurwendur.top:8080/VIP015051755173248550/f05226677ca3/132391
XXX: MY WIFE ADULT,http://vipdurwendur.top:8080/VIP015051755173248550/f05226677ca3/132392
XXX: BALCKED ADULT,http://vipdurwendur.top:8080/VIP015051755173248550/f05226677ca3/132393
XXX: BLACK GFS ADULT,http://vipdurwendur.top:8080/VIP015051755173248550/f05226677ca3/132394
XXX: PRIVATE BLACK ADULT,http://vipdurwendur.top:8080/VIP015051755173248550/f05226677ca3/132395
XXX: ASIAN SEX DIARY ADULT,http://vipdurwendur.top:8080/VIP015051755173248550/f05226677ca3/132397
XXX: WILD GANGBANGS ADULT,http://vipdurwendur.top:8080/VIP015051755173248550/f05226677ca3/132399
XXX: C ADULT,http://vipdurwendur.top:8080/VIP015051755173248550/f05226677ca3/132402
XXX: ALL GROUP SEX ADULT,http://vipdurwendur.top:8080/VIP015051755173248550/f05226677ca3/132404
XXX: BRATTY SIS ADULT,http://vipdurwendur.top:8080/VIP015051755173248550/f05226677ca3/132406
XXX: COLLECTIVE PLEASURE ADULT,http://vipdurwendur.top:8080/VIP015051755173248550/f05226677ca3/132407
XXX: CUSTOMS ADULT,http://vipdurwendur.top:8080/VIP015051755173248550/f05226677ca3/132408
XXX: DOGFART NETWORK 2 ADULT,http://vipdurwendur.top:8080/VIP015051755173248550/f05226677ca3/132409
XXX: DOGFART NETWORK 3 ADULT,http://vipdurwendur.top:8080/VIP015051755173248550/f05226677ca3/132410
XXX: DOGFART NETWORK ADULT,http://vipdurwendur.top:8080/VIP015051755173248550/f05226677ca3/132411
XXX: DORCEL CLUB ADULT,http://vipdurwendur.top:8080/VIP015051755173248550/f05226677ca3/132412
XXX: FIFTHY KINGS ADULT,http://vipdurwendur.top:8080/VIP015051755173248550/f05226677ca3/132414
XXX: FIT18 ADULT,http://vipdurwendur.top:8080/VIP015051755173248550/f05226677ca3/132415
XXX: HER LIMIT ADULT,http://vipdurwendur.top:8080/VIP015051755173248550/f05226677ca3/132417
XXX: JAYS POV 2 ADULT,http://vipdurwendur.top:8080/VIP015051755173248550/f05226677ca3/132418
XXX: MEN ADULT,http://vipdurwendur.top:8080/VIP015051755173248550/f05226677ca3/132420
XXX: MOFOS 2 ADULT,http://vipdurwendur.top:8080/VIP015051755173248550/f05226677ca3/132422
XXX: MOFOS 3 ADULT,http://vipdurwendur.top:8080/VIP015051755173248550/f05226677ca3/132423
