# 这是本地源列表，一行一个源，格式为：频道名称,接口地址
# 支持设置白名单：接口后添加$!
# The local source list, one line per source, format: channel name, interface address
# Support setting whitelist: add $! after the interface

☘️国产色情,#genre#
HongKongDoll玩偶姐姐森林 - 第二集 woods - Episode 2 欺骗 Lies,https://vip2.slbfsl.com/20230226/FrtYhWPU/index.m3u8
一直流出白浆的小穴!!,https://vip2.slbfsl.com/20230421/0Gt93IDS/index.m3u8
【免费】订婚前的回忆-香菜公主,https://vip2.slbfsl.com/20230325/hESd97Cu/index.m3u8
【免费】轻轨小妞随我玩,https://vip2.slbfsl.com/20230325/xweG28uQ/index.m3u8
约炮高颜值极品外围妹穿着黑丝沙发干到床上,https://vip2.slbfsl.com/20230416/C3R6WdBQ/index.m3u8
在家自慰被弟弟发现接着狂干我,https://vip2.slbfsl.com/20230324/yAXdh4r4/index.m3u8
小两口半夜享受疯狂啪啪的乐趣,https://vip2.slbfsl.com/20230411/XhL4DyzI/index.m3u8
高质量苗条身材大奶妹子 吃完夜宵再来一炮沙发后入大力猛操 很是诱惑喜欢不要错过,https://vip2.slbfsl.com/20230410/j3DxJLQO/index.m3u8
探花赵公子-自拍领导的交易工具,https://vip2.slbfsl.com/20230323/yc405b8F/index.m3u8
小宝寻花极品外围00后 大学生兼职清纯校花,https://vip2.slbfsl.com/20230408/o8367L6i/index.m3u8
小马寻花网约极品甜美外围小姐姐 跪在沙发翘起屁股后,https://vip2.slbfsl.com/20230408/Bmy2ghfL/index.m3u8
小马寻花约满背纹身外围御姐 手指揉穴扣弄 舔屌深喉骑上来 扶着屁股后入猛操,https://vip2.slbfsl.com/20230408/QEA5J8e4/index.m3u8
小马寻花漂亮小姐姐粉胸翘臀带来温柔细致的巅峰体验,https://vip2.slbfsl.com/20230408/tAcoFkoe/index.m3u8
文轩探花-约操短发外围妹子 后入操着还拿手机聊天,https://vip2.slbfsl.com/20230407/IPGyGnl4/index.m3u8
极品外围170御姐范 肤白貌美大长腿,https://vip2.slbfsl.com/20230406/ndKKDLRC/index.m3u8
大王叫我来寻花在酒吧消费完领了一个DJ回家干炮,https://vip2.slbfsl.com/20230406/DgkkSEBA/index.m3u8
沈先森约齐逼短裤外围 穿上网袜深喉口交 翘起屁股后入抽插猛操,https://vip2.slbfsl.com/20230405/SvxFyVtn/index.m3u8
卡哇伊小萝莉 卖萌自拍超可爱 娇嫩听话啪啪很投入 赚到外快高兴离开,https://vip2.slbfsl.com/20230322/ykIbNzgr/index.m3u8
约炮遇到大学校花用J8征服她,https://vip2.slbfsl.com/20230402/6K46OdDr/index.m3u8
约炮美容院老板娘穿着情趣内衣干奶子貌似又大了直接干到高潮,https://vip2.slbfsl.com/20230330/nwT5sVyo/index.m3u8
【小马寻花】几十万粉丝要求返场极品抽搐妹 中途休息 吹硬换套第二炮继续激情 高潮叫得惊天动地,https://vip2.slbfsl.com/20230328/hqnehG3Y/index.m3u8
172CM身材高挑的大长腿超模 长着一张高级的T台模特儿脸,https://vip2.slbfsl.com/20230321/GT9vqzQH/index.m3u8
极品漂亮学妹自拍 非常白嫩 真嫩8,https://vip2.slbfsl.com/20230319/X29TV8tn/index.m3u8
原创投稿   良家少妇,https://vip2.slbfsl.com/20230318/jNpddb5v/index.m3u8
群P  母狗2,https://vip2.slbfsl.com/20230318/fmgsD947/index.m3u8
今天你是我的新娘,https://vip2.slbfsl.com/20230203/tlTqYtDb/index.m3u8
姐姐与弟弟的禁忌之恋,https://vip2.slbfsl.com/20230203/ciIqexf1/index.m3u8
酒店私拍各种露点自慰极致诱惑,https://vip2.slbfsl.com/20230203/nu5nioi4/index.m3u8
黑丝华裔学生妹带你体验震动棒带来的刺激,https://vip2.slbfsl.com/20230131/XoeLbck0/index.m3u8
和炮友的野外交合,https://vip2.slbfsl.com/20230131/nL2L67Bt/index.m3u8
白肤长腿妹竟然用青瓜自慰 还抽插出白浆,https://vip1.slbfsl.com/20221217/WGmq2Gvy/index.m3u8
爱心魔法棒连续抽插粉嫩逼逼高潮不断,https://vip1.slbfsl.com/20221217/aWtBTKmx/index.m3u8
XKG008  少婦炮友是我的親生媽媽-美嘉,https://vip2.slbfsl.com/20230124/7Kf9GWZb/index.m3u8
TMW020絕對高潮情慾按摩店,https://vip2.slbfsl.com/20230124/EASJbc3f/index.m3u8
XKG022  代替閨蜜去相親-晴天,https://vip2.slbfsl.com/20230124/xPeLXLqg/index.m3u8
TMW06青春高校生,https://vip2.slbfsl.com/20230124/Lv3rrXC9/index.m3u8
TM0096賣身救夫,https://vip2.slbfsl.com/20230122/rcocmCz6/index.m3u8
JDYP004  約啪約到了大嫂,https://vip2.slbfsl.com/20230121/kGMSpw2j/index.m3u8
JDYP018  白領為客戶約啪妹子,https://vip2.slbfsl.com/20230121/YF8tSD92/index.m3u8
JDYP007  農民工約啪小嫩妹,https://vip2.slbfsl.com/20230121/vKmaQFIF/index.m3u8
JDX001-X  系列之粉的第七章,https://vip2.slbfsl.com/20230120/cX7ZYxAN/index.m3u8
JD110  又到櫻花綻放時,https://vip2.slbfsl.com/20230119/INX372pv/index.m3u8
JD108  老公無能不能滿足,https://vip2.slbfsl.com/20230119/0mnwIMN2/index.m3u8
JD052  迷奸,https://vip2.slbfsl.com/20230119/Z991Zfh2/index.m3u8
JD059  百萬交易,https://vip2.slbfsl.com/20230119/skQNbt4q/index.m3u8

☘️亚洲无码,#genre#
Carib 041210-345 ピンサロの面接現場に潜入！本来無いはずの???,https://vip1.slbfsl.com/20220818/C9vACssS/index.m3u8
Carib 041210-345 ピンサロの面接現場に潜入！本来無いはずの???,https://aosikazy12.com/20220929/iqUTZL9A/index.m3u8
Carib 122819-001 白杞りり ピタパン美巨尻家政婦の年末大掃除２,https://aosikazy12.com/20220929/7dcRQciZ/index.m3u8
Caribpr 040710-341 草凪純 ハメタク３?特別編集版?,https://aosikazy12.com/20220929/AoUHqOJz/index.m3u8
Carib 050310-364 アンダーヘアサロン File.1,https://aosikazy12.com/20220929/4G1vjG8V/index.m3u8
Carib 041010-344 青山ゆい 着ハメキャンディ File.016,https://vip1.slbfsl.com/20220818/G8xaGLd7/index.m3u8
